Class,precision,recall,f1-score,support,accuracy,category_name
0,0.7037037037037037,0.7037037037037037,0.7037037037037037,27.0,0.7037037037037037,Mapping
1,0.6923076923076923,0.8181818181818182,0.7500000000000001,22.0,0.8181818181818182,Enterprise
2,0.6190476190476191,0.5909090909090909,0.6046511627906977,22.0,0.5909090909090909,eCommerce
3,0.8,0.5714285714285714,0.6666666666666666,21.0,0.5714285714285714,Financial
4,0.84,0.9545454545454546,0.8936170212765958,22.0,0.9545454545454546,Government
5,0.75,0.96,0.8421052631578947,25.0,0.96,Social
6,0.8695652173913043,1.0,0.9302325581395349,20.0,1.0,Payments
7,0.6785714285714286,0.76,0.7169811320754718,25.0,0.76,Tools
8,0.6190476190476191,0.52,0.5652173913043478,25.0,0.52,Messaging
9,0.7777777777777778,0.56,0.6511627906976745,25.0,0.56,Science
10,1.0,0.95,0.9743589743589743,20.0,0.95,Telephony
11,0.7727272727272727,0.68,0.7234042553191491,25.0,0.68,Video
12,0.8064516129032258,0.8928571428571429,0.8474576271186439,28.0,0.8928571428571429,Search
13,0.42857142857142855,0.4,0.4137931034482759,30.0,0.4,Advertising
14,0.7142857142857143,0.75,0.7317073170731706,20.0,0.75,Reference
15,0.8947368421052632,0.7727272727272727,0.8292682926829269,22.0,0.7727272727272727,Travel
16,0.8571428571428571,0.9,0.8780487804878048,20.0,0.9,Transportation
17,0.8181818181818182,0.6,0.6923076923076923,30.0,0.6,Email
18,0.9166666666666666,0.88,0.8979591836734694,25.0,0.88,Sports
19,0.6571428571428571,0.7666666666666667,0.7076923076923077,30.0,0.7666666666666667,Project Management
20,0.8421052631578947,0.8,0.8205128205128205,20.0,0.8,Data
21,0.6666666666666666,0.8181818181818182,0.7346938775510203,22.0,0.8181818181818182,Games
22,0.675,0.9,0.7714285714285714,30.0,0.9,Bitcoin
23,0.8461538461538461,0.55,0.6666666666666667,20.0,0.55,Education
24,0.9090909090909091,0.9090909090909091,0.9090909090909091,22.0,0.9090909090909091,Cloud
25,0.8529411764705882,0.9666666666666667,0.90625,30.0,0.9666666666666667,Music
26,0.9047619047619048,0.76,0.8260869565217391,25.0,0.76,Photos
27,1.0,1.0,1.0,20.0,1.0,Database
28,0.6,0.6,0.6,20.0,0.6,Internet of Things
29,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0,0.9090909090909091,Shipping
30,0.7777777777777778,0.9333333333333333,0.8484848484848485,30.0,0.9333333333333333,Application Development
31,0.7333333333333333,0.88,0.8,25.0,0.88,Events
32,0.7777777777777778,0.84,0.8076923076923077,25.0,0.84,Banking
33,0.9444444444444444,0.85,0.8947368421052632,20.0,0.85,Stocks
34,0.3333333333333333,0.21428571428571427,0.2608695652173913,28.0,0.21428571428571427,Medical
35,0.7027027027027027,0.8666666666666667,0.7761194029850748,30.0,0.8666666666666667,Analytics
36,0.625,0.7142857142857143,0.6666666666666666,28.0,0.7142857142857143,Other
37,0.85,0.8095238095238095,0.8292682926829269,21.0,0.8095238095238095,Security
38,0.9545454545454546,0.9545454545454546,0.9545454545454546,22.0,0.9545454545454546,Backend
39,0.967741935483871,1.0,0.9836065573770492,30.0,1.0,News Services
40,0.84375,0.9642857142857143,0.8999999999999999,28.0,0.9642857142857143,Domains
41,0.9523809523809523,0.9090909090909091,0.9302325581395349,22.0,0.9090909090909091,File Sharing
42,0.7894736842105263,0.75,0.7692307692307692,20.0,0.75,Images
43,0.8275862068965517,0.8,0.8135593220338982,30.0,0.8,Real Estate
44,0.5,0.3,0.37499999999999994,30.0,0.3,Entertainment
45,0.8333333333333334,0.7142857142857143,0.7692307692307692,28.0,0.7142857142857143,Chat
46,0.7428571428571429,0.9285714285714286,0.8253968253968255,28.0,0.9285714285714286,Media
47,0.8260869565217391,0.6785714285714286,0.7450980392156864,28.0,0.6785714285714286,Storage
48,1.0,1.0,1.0,20.0,1.0,Office
49,0.7096774193548387,0.7333333333333333,0.7213114754098361,30.0,0.7333333333333333,Weather
accuracy,0.7762520193861067,0.7762520193861067,0.7762520193861067,0.7762520193861067,,accuracy
macro avg,0.7831366260242159,0.781696584896585,0.7771269456060114,1238.0,,macro avg
weighted avg,0.774303648859391,0.7762520193861067,0.7697801335350354,1238.0,,weighted avg
